我 I
牌 board
鲜 live_fish
球 
? ?
务 N
才 ability
从 to_follow
算 to_count
慢 slow
伤 wound
牙 tooth
刷 brush
图 diagram
馆 accommodation
票 ticket
自 self
己 self
先 first
脸 cheek
首 head
闻 to_hear
奇 strange
怪 strange
关 frontier_pass
产 to_give_birth
品 article
床 bed
派 tributary_of_a_river
K K
V V
议 to_talk_over
试 to_test
旁 side
边 side
站 to_stand
放 to_release
草 herbaceous_plant
怕 to_fear
解 to_loosen
讨 to_send_armed_forces_to_suppress
厌 to_be_satisfied
共 common
担 to_carry_on_a_shoulder_pole
希 
望 to_see
然 
笔 writing_brush
亲 paternal_relatives
介 to_lie_between
绍 to_continue
“ “
叔 
” ”
邮 place_name_in_modern_Shaanxi
报 to_judge
糖 sugar
瓶 bottle
份 share
炒 to_stir_fry
斤 catty
条 strip
盒 box
叶 to_cooperate
支 to_support
玫 type_of_gemstone
瑰 
第 sequence
赛 to_compete
最 most
谢 to_excuse_oneself
川 river
懒 lazy
收 to_arrest
因 to_follow
病 illness
圣 
诞 to_be_born
历 to_experience
史 history
色 color
运 
动 to_move
W W
、 、
护 to_protect
照 to_shine_upon
验 to_test
音 sound
湿 wet
矮 short
瘦 thin
画 picture
穿 to_penetrate
山 mountain
风 wind
景 
或 or
者 Used_at_the_end_of_a_command
披 to_drape_over_one
萨 _
寿 old_age
杭 
州 
苏 perilla
⋯ ⋯
像 picture
笼 bamboo
衬 inner_garment
衫 unlined_garment
接 to_come_near_to
毕 a_long
统 interconnected_and_continuous_relationship
胡 wattle
萝 creeping_or_trailing_plants
卜 to_divine
笨 heavy
内 the_inside
跳 to_jump
舞 to_dance
E E
N N
I I
考 to_examine
